title,url,article_section,summary,date,code,tags,text
                     اهدای یک میلیون ماسک دیگر به کشور چین                 ,https://roozno.com/fa/news/412370/اهدای-یک-میلیون-ماسک-دیگر-به-کشور-چین,[],فارس نوشت: وزیر بهداشت گفت: در دو نوبت قرار شد دو میلیون ماسک در راستای کمک‌های بشر دوستانه به کشور چین اهدا شود که در نوبت اول یک میلیون ارسال شده است و یک میلیون ماسک دیگر نیز اهدا خواهد شد.,2020-02-07 15:49:00,                     ,"['اهدای ماسک', 'چینی ها']",
                     اتهام بزرگ فرهاد مجیدی به فرمانده انتظامی                 ,https://roozno.com/fa/news/412364/اتهام-بزرگ-فرهاد-مجیدی-به-فرمانده-انتظامی,[],سرمربی استقلال بابت تساوی دیروز (پنجشنبه) تیمش در داربی ۹۱ از هواداران عذرخواهی کرد.,2020-02-07 13:55:00,                     ,"['فرهاد مجیدی', 'فوتبالیست ها', 'ضرب و شتم', 'نیروی انتظامی']",
                     دولت سعودی باید سرنگون شود                 ,https://roozno.com/fa/news/412369/دولت-سعودی-باید-سرنگون-شود,[],«عبدالله بن سالم السالم» دبیرکل حزب «امت اسلامی» عربستان، دولت سعودی را حکومتی دانست که مشروعیت نداشته و باید سرنگون شود.,2020-02-07 15:48:00,                     ,"['دولت سعودی', 'سرنگونی']",
                     عامل انتشار شایعه کرونا دستگیر شد                 ,https://roozno.com/fa/news/412367/عامل-انتشار-شایعه-کرونا-دستگیر-شد,[], رئیس پلیس فتا فرماندهی انتظامی استان از دستگیری عامل انتشار شایعه کرونا در کردستان خبر داد.,2020-02-07 15:45:00,                     ,"['ویروس کرونا', 'انتشار']",
                     اتوبوس های بازیکنان پرسپولیس و استقلال در خیابان +عکس                 ,https://roozno.com/fa/news/412368/اتوبوس-های-بازیکنان-پرسپولیس-و-استقلال-در-خیابان-عکس,[], ,2020-02-07 15:46:00,                     ,"['اتوبوس', 'پرسپولیس و استقلال']",
                     اعتراض انجمن حمایت از حیوانات به تماشاگران دربی‌ !                 ,https://roozno.com/fa/news/412363/اعتراض-انجمن-حمایت-از-حیوانات-به-تماشاگران-دربی‌-,[],اکانت توئیتریِ انجمن حمایت از حقوق حیوانات به یک رفتار زشت و قدیمی تماشاچیان دربی این گونه واکنش نشان داده است.,2020-02-07 12:31:00,                     ,"['انجمن حمایت از حیوانات', 'دربی فوتبال']",
                     جاری شدن مشروب الکلی از شیر آب آشامیدنی!                 ,https://roozno.com/fa/news/412356/جاری-شدن-مشروب-الکلی-از-شیر-آب-آشامیدنی,[],ساکنان یک مجموعه مسکونی در ایالت کرالا در جنوب هند از جاری شدن مخلوطی از مشروبات الکلی به جای آب آشامیدنی بهت‌زده شدند.,2020-02-07 11:48:00,                     ,"['مشروبات الکلی', 'شیر آب']",
                     ​عوارض آزادراه تهران - شمال چقدر است؟                 ,https://roozno.com/fa/news/412361/​عوارض-آزادراه-تهران-شمال-چقدر-است,[],معاون برنامه ریزی و توسعه منابع وزارت راه و شهرسازی در بازدید از پروژه آزادراه تهران - شمال گفت: در ساخت این آزاد راه از تاسیسات بسیار پیشرفته استفاده شده و هزینه تاسیسات این پروژه به اندازه ساخت برخی بزرگراه هاست.,2020-02-07 12:24:00,                     ,"['عوارض', 'تهران شمال']",
                     مطهری: اظهارنظرها نباید ملاک رد یا تایید صلاحیت کسی باشد/ آزادی بیان مخدوش شده است                 ,https://roozno.com/fa/news/412348/مطهری-اظهارنظرها-نباید-ملاک-رد-یا-تایید-صلاحیت-کسی-باشد-آزادی-بیان-مخدوش-شده-است,[],علی مطهری، نماینده مردم تهران در مجلس، تاکید کرد که نباید خودمان را در جایگاه خدا قرار دهیم و نیات و افعال مردم را بررسی کنیم و در ادامه گفت: نباید با سخت‌گیری‌های بیجا مانع حضور مردم در انتخابات شویم. باید اجازه دهیم مردم خودشان تصمیم بگیرند و نگران فریب خودن آنها هم نباشیم.,2020-02-07 11:25:00,                     ,['علی مطهری'],
                     فرود اضطراری پرواز تهران-دمشق در پایگاه هوایی «حمیمم»                 ,https://roozno.com/fa/news/412347/فرود-اضطراری-پرواز-تهران-دمشق-در-پایگاه-هوایی-حمیمم,[], ,2020-02-07 11:24:00,                     ,['فرود اضطراری پرواز تهران'],
                     دماغ بیرانوند سوژه شد ! +عکس                 ,https://roozno.com/fa/news/412355/دماغ-بیرانوند-سوژه-شد-عکس,[], ,2020-02-07 11:41:00,                     ,"['دماغ', 'بیرانوند']",
                     واعظی: ۴۰۰ نفر در وزارت خزانه داری آمریکا تحریم ایران را رصد می‌کنند / کار آنها این است که به هر وسیله‌ای روابط اقتصادی ما با دیگر کشورها را محدود کنند / اتحادیه اروپا پس از گام پنجم ایران، عصبانی بود اما اکنون متعادل شده                 ,https://roozno.com/fa/news/412352/واعظی-۴۰۰-نفر-در-وزارت-خزانه-داری-آمریکا-تحریم-ایران-را-رصد-می‌کنند-کار-آنها-این-است-که-به-هر-وسیله‌ای-روابط-اقتصادی-ما-با-دیگر-کشورها-را-محدود-کنند-اتحادیه-اروپا-پس-از-گام-پنجم-ایران-عصبانی-بود-اما-اکنون-متعادل-شده,[],رییس دفتر رییس جمهوری اسلامی ایران گفت که ۴۰۰ نفر در وزارت خزانه داری آمریکا بطور مستمر روی تحریم کشورمان متمرکز بوده و برای فشار بیشتر امور مرتبط را رصد می کنند اما بی نتیجه بودن اقداماتشان باعث شده برای مذاکره التماس کنند.,2020-02-07 11:34:00,                     ,['تحریم ایران'],
                     نتایج انتخابات درون حزبی دموکرات‌ها:بوتجج در انتخابات مقدماتی آیووا سندرز را شکست داد/ سندرز دوم و بایدن چهارم شدند                 ,https://roozno.com/fa/news/412350/نتایج-انتخابات-درون-حزبی-دموکرات‌هابوتجج-در-انتخابات-مقدماتی-آیووا-سندرز-را-شکست-داد-سندرز-دوم-و-بایدن-چهارم-شدند,[],«حزب دموکرات آیووا» پس از تاخیری طولانی در انتشار نتایج آرا، «پت بوجیج» را رسما به عنوان برنده انتخابات درون حزبی دموکرات‌ها در این ایالت معرفی کرد.,2020-02-07 11:32:00,                     ,['انتخابات درون حزبی دموکرات\u200cها'],
                     ۱۰ برند بار ارزش جهان را بشناسید                 ,https://roozno.com/fa/news/412353/۱۰-برند-بار-ارزش-جهان-را-بشناسید,[],شش برند از ۱۰ برند با ارزش جهان در آمریکا قرار دارند.,2020-02-07 11:38:00,                     ,"['برند', 'با ارزش']",
                     پزشک چینی که اولین‌بار درباره کرونا هشدار داده بود، بر اثر ابتلا به همین بیماری درگذشت                 ,https://roozno.com/fa/news/412351/پزشک-چینی-که-اولین‌بار-درباره-کرونا-هشدار-داده-بود-بر-اثر-ابتلا-به-همین-بیماری-درگذشت,[], ,2020-02-07 11:33:00,                     ,['کرونا'],
                     هواشناسی: برف کشور را دربر می گیرد                 ,https://roozno.com/fa/news/412349/هواشناسی-برف-کشور-را-دربر-می-گیرد,[], ,2020-02-07 11:30:00,                     ,['هواشناسی'],
                     رئیس قوه قضائیه: ‌هرگز ‌اجازه خواب راحت را به آمریکایی‌ها ‌نمی‌دهیم / با کوچک‌ترین خطایی جای آن‌ها در قعر آب‌های خلیج فارس خواهد بود                 ,https://roozno.com/fa/news/412346/رئیس-قوه-قضائیه-‌هرگز-‌اجازه-خواب-راحت-را-به-آمریکایی‌ها-‌نمی‌دهیم-با-کوچک‌ترین-خطایی-جای-آن‌ها-در-قعر-آب‌های-خلیج-فارس-خواهد-بود,[],رئیس قوه قضائیه گفت: حضور مقتدرانه نیرو‌های مسلح اجازه نخواهد داد که آمریکایی‌ها در منطقه هرگز خواب راحت داشته باشند و همچنانی نشان داده شد.,2020-02-07 11:22:00,                     ,['رئیس قوه قضائیه'],
